pathway_name,sage_value,sage_value_sd
Aromatic amino acids,0.0025751107600727923,0.00013579149842295275
Branched-chain amino acids,0.09275401603316931,0.004934271212036585
Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),0.054539546311041937,0.005367351170235023
IDL (average diameter 28.6 nm),3.7139276145808844,0.1911344053687364
Large HDL (average diameter 12.1 nm),-0.15595413632471614,0.011302377941989045
Large LDL (average diameter 25.5 nm),-2.2875322311299167,0.11848992835723095
Large VLDL (average diameter 53.6 nm),-0.2088391089194296,0.015656222620534416
Medium HDL (average diameter 10.9 nm),-0.06796051037591087,0.003678551449937206
Medium LDL (average diameter 23 nm),-0.6078985318991107,0.031777145812437034
Medium VLDL (average diameter 44.5 nm),-0.28850947749735495,0.017224648317687035
Small HDL (average diameter 8.7 nm),-0.6404299141399258,0.03197463339385265
Small LDL (average diameter 18.7 nm),-0.1086591018471611,0.0059243700984352625
Small VLDL (average diameter 36.8 nm),-0.0772658944712354,0.0043975941580814675
Very large HDL (average diameter 14.3 nm),-0.0010085242407174622,5.815942312768775e-05
Very large VLDL (average diameter 64 nm),-0.05847777519647969,0.004977703140317658
Very small VLDL (average diameter 31.3 nm),0.3786060687876852,0.021376773553293964
p23400_i0,1.0460034249530956,0.056295800547674656
p23401_i0,2.832961716046033,0.15476779522992323
p23402_i0,3.0149257420683666,0.16198660714216184
p23403_i0,0.5152244783145088,0.029953980686108782
p23404_i0,0.17142239352893157,0.009598334085428524
p23405_i0,-1.8695837353391145,0.10136403798210067
p23406_i0,-0.9421859949214751,0.048044224341792244
p23407_i0,-1.7786350009514715,0.11385313938850591
p23408_i0,-1.2642631345941824,0.08668312703399882
p23409_i0,-0.021616812212359327,0.0011835163745905742
p23410_i0,0.02170755973131522,0.001371606364740363
p23411_i0,1.0068484422774802,0.056721196375616546
p23412_i0,0.05612081051318287,0.003445056688132402
p23413_i0,-0.11778444621335517,0.006273923362296476
p23414_i0,0.18835046488913865,0.01005876272249399
p23415_i0,-0.249671620187516,0.012676492312089008
p23416_i0,0.26465388756724817,0.015050000651668932
p23417_i0,-1.1690357464858057,0.061478303649793106
p23418_i0,-0.6866249503648707,0.03442057188129903
p23419_i0,0.3681812362266745,0.019504230103129253
p23420_i0,0.03810664414402611,0.0022747079677277026
p23421_i0,-0.07353097287714212,0.003851473741931887
p23422_i0,-0.02936219187326726,0.001555009998827133
p23423_i0,-7.553797323906507,0.41831803504714005
p23424_i0,-1.0432156279747975,0.062403100642348684
p23425_i0,-3.7503301351900182,0.19053232059330666
p23426_i0,-1.3266071616270094,0.06901843719558635
p23427_i0,-0.00010958394530380442,5.789728414022789e-06
p23428_i0,6.273216791059299e-09,3.550120693795464e-10
p23429_i0,-3.3582406232399854e-07,1.9289205515263513e-08
p23430_i0,-0.00010960956082641305,5.5418633383839296e-06
p23431_i0,47.88782711560371,0.8047458409488738
p23432_i0,-11.818265573939247,0.6052837014002718
p23433_i0,2.7086948061457496,0.13950287721450427
p23434_i0,1.7358454322634236,0.0876475314648484
p23436_i0,1.5282505027169084,0.08217125784013037
p23437_i0,1.2086954766254683,0.06201915203539875
p23438_i0,0.0025531026180167418,0.00013263323216483204
p23439_i0,0.14213315492097997,0.00782202783865831
p23440_i0,-0.38478142322951736,0.021342200523025327
p23442_i0,3.962267391124764,0.2133416555288321
p23443_i0,0.019994537317944077,0.0009508084831708131
p23444_i0,-0.15126176901288196,0.009337796148786003
p23445_i0,1.407226914374179,0.07429297232993795
p23446_i0,-0.10419825135105347,0.005270698671605412
p23447_i0,-0.9650434271820987,0.057789691930324336
p23448_i0,3.2805780997560423,0.17374781806650189
p23449_i0,-1.2541933588294454,0.06443079958993109
p23450_i0,-0.056136768228973,0.003529781927334372
p23460_i0,-0.006371555427383811,0.000366051457311824
p23461_i0,-0.1839152640141953,0.009548835419656518
p23462_i0,-0.045175423387293655,0.0027006691253392556
p23463_i0,-2.4923555725325544e-05,1.2707896042378966e-06
p23470_i0,-0.04716895109441633,0.002639162140026281
p23471_i0,0.22089551234633326,0.012570223809303763
p23472_i0,0.0018085079832682244,0.00010310025716031997
p23473_i0,0.000379263595774464,1.848516593146725e-05
p23474_i0,0.004595684006511039,0.0002921540420581929
p23475_i0,0.000661455940202273,8.905517540506644e-05
p23476_i0,0.0003357421076665421,2.346889332116884e-05
p23477_i0,0.00011987928919980169,6.033777186359063e-06
p23478_i0,-0.0011097313861124828,5.846867046874816e-05
p23479_i0,1.7594454094812253,0.09670775609525666
p23480_i0,-0.026334152753721297,0.0014341177814357177
